1914 1 0
1915 1 3
1916 4 5
1917 2 2
1918 0 2
1919 10 0
1920 2 0
1921 0 4
1922 4 2
1923 0 2
1924 0 12
1925 0 5
1926 0 2
1927 2 0
1928 0 5
1929 4 5
1930 1 2
1931 2 4
1932 1 2
1933 40 0
1934 1 41
1935 1 7
1936 2 20
1937 1 6
1938 0 2
1939 1 6
1940 11 0
1941 0 13
1942 3 0
1943 16 31
1944 2 3
1945 3 1
1946 1 1
1947 6 0
1948 21 0
1949 1 45
1950 0 4
1951 2 0
1952 0 2
1953 3 5
1954 1 6
1955 0 3
1956 0 2
1957 1 2
1958 2 4
1959 7 0
1960 6 0
1961 0 7
1962 2 0
1963 2 2
1964 0 2
1965 1 3
1966 0 2
1967 0 2
1968 6 14
1969 0 3
1970 6 0
1971 0 6
1972 2 3
1973 4 0
1974 0 8
1975 5 0
1976 2 5
1977 2 0
1978 1 6
1979 0 2
1980 2 5
1981 0 3
1982 8 18
1983 4 5
1984 0 2
1985 25 0
1986 8 8
1987 4 7
1988 140 0
1989 3 265
1990 0 2
1991 1 2
1992 2 5
1993 3 3
1994 0 2
1995 2 3
1996 3 0
1997 0 2
1998 0 3
1999 0 1
2000 0 2
2001 0 2
2002 0 2
2003 3 0
2004 0 6
2005 2 6
2006 62 77
2007 2 2
2008 0 1
2009 3 0
2010 0 2
2011 0 3
2012 3 8
2013 1 3
2014 318 203
2015 24 36
2016 1 1
2017 0 2
2018 2 0
2019 0 3
2020 2 1
2021 5 16
2022 42 0
2023 82 0
2024 59 89
2025 1 2
2026 1 7
2027 13 8
2028 4 0
2029 9 15
2030 13 15
2031 2 0
2032 1 3
2033 2 0
2034 1 5
2035 3 6
2036 4 2
2037 1 4
2038 21 27
2039 2 0
2040 1 3
2041 5 7
2042 0 2
2043 14 0
2044 984 0
2045 353 1232
2046 3166 844
2047 0 2
2048 3 12
2049 0 2
2050 6 5
2051 0 2
2052 2 0
2053 0 2
2054 10 15
2055 6 0
2056 0 11
2057 2 0
2058 0 1
2059 0 2
2060 2 0
2061 0 7
2062 2 8
2063 15 0
2064 1 40
2065 4 0
2066 66 0
2067 2 138
2068 11 0
2069 2 11
2070 3 8
2071 8 0
2072 0 8
2073 2 0
2074 0 2
2075 0 2
2076 3 3
2077 0 1
2078 3 0
2079 0 6
2080 1 7
2081 0 1
2082 2 4
2083 1 3
2084 0 2
2085 15 0
2086 0 10
2087 4 4
2088 19 0
2089 0 21
2090 7 13
2091 5 0
2092 1 3
2093 2 5
2094 0 2
2095 0 2
2096 0 2
2097 3 2
2098 0 2
2099 14 13
2100 2 0
2101 737 0
2102 48 713
2103 14 0
2104 2 72
2105 0 2
2106 6 16
2107 6 0
2108 0 6
2109 0 1
2110 5 0
2111 1 5
2112 3 1
2113 5 0
2114 3 0
2115 1 5
2116 8 15
2117 0 5
2118 1 1
2119 11 0
2120 1 23
2121 48 0
2122 1 86
2123 3 2
2124 0 6
2125 0 2
2126 2 6
2127 0 2
2128 3 0
2129 0 3
2130 2 0
2131 5 0
2132 1 6
2133 2 0
2134 0 3
2135 1 0
2136 0 4
2137 0 2
2138 0 2
2139 16 0
2140 13 30
2141 5 0
